                                                  at_name                                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           regexp_replace                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
 Italy UK                                                                                                   | Collection of websites relating to Italy, Italians and Italian culture intended to reflect a wide range of related issues such as typical Italian products, education, art and tourism. The archived sites include those about Italy and those which reflect the experience of Italians living in the UK. The collection is ongoing.
 Crimean War                                                                                                | 
 British Overseas Territories                                                                               | The British Overseas Territories are fourteen territories under the sovereignty and formal control of the UK but not actually part of the UK. The name superseded the name British-Dependent Territory, which was introduced by the British Nationality Act 1981. Before this time the territories were known as colonies or Crown colonies. Most Overseas Territories are self-governing but rely on the UK in crucial matters of foreign policy etc.
 British Countryside                                                                                        | Collection of Internet sites selected around the theme of British Countryside intended to reflect a wide range of related issues such as rural economy, environment, wildlife, art, history and politics. Sites represent organisations such as wildlife groups; academic think tanks; agricultural consultants; national countryside groups, campaigning groups and tourist boards amongst others. 
 New Spiritualities                                                                                         | 
 Methodism                                                                                                  | 
 Film in the UK                                                                                             | Collection created for the curator's choice collections at the request of Stella Wisdom, April 2012
 History of the Book                                                                                        | proposed collection to complement the History of Libraries collection. See Stella Wisdom as the contact for this collection. 
 London Mayoral Election 2008                                                                               | This collection of websites focuses on the election for the office of Mayor of London 2008. The election was the third London mayoral election, the previous elections being the first election in May 2000 and the second election in June 2004. The third election, the focus of this collection, was held on 1 May 2008 and was won by Conservative party candidate Boris Johnson. The collection includes websites of the main candidates, as well as opinion sites and commentaries. Sites were gathered from the 1st April 2008 until 31st May 2008.
 European Parliament Elections 2009                                                                         | Collection of around 200 Internet sites formed during and immediately after the European Parliament election campaign of 2009. It consists of a representative sample of Pan-European, national and regional political party sites,  candidates campaign sites and blogs,  manifestos of civil society organisations at national and European level, and comment from the traditional press, political analysts in academia, and individuals and communities sharing their thoughts online.
 Indian Ocean Tsunami December 2004                                                                         | A collection documenting the effects, aftermath and human responses to the 26 December 2004 tsunami disaster in Asia. The sites were collected between January-March 2005 and include those of aid organisations, charities, sites set up to raise relief donations, those established to record personal experiences, and the response of religious communites to this event.
 Aging                                                                                                      | This collection looks at aging issues from a number of contexts. The collection covers health and social care, intergenerational relationships, housing, pensions and finance, social life and leisure activities, assistive technologies and the representation of older people in literature, the arts and media. Research into the biological mechanisms of aging and age-related diseases are also considered. The collection includes websites published by academic organisations, research centres, think tanks, advocacy groups, service providers and local and central government.   
 Britishness                                                                                                | Collection to showcase Britishness - not to be displayed as yet and name not finalised.
 UK General Election 2010: Political Parties - National                                                     | 
 Library Key Issues                                                                                         | 
 Pandemic Influenza                                                                                         | This collection of websites was initiated in 2005 to contingency plan around any possible outbreak of Avian flu in the UK. It has since been expanded to include all types of Pandemic flu such as the Swine flu outbreak of 2009. The collection contains public advisory sites produced by the Government alongside news and commentary.  
 UK General Election 2010: Interest Groups                                                                  | 
 Research Centers and Think Tanks (UK General Election 2015)                                                | 
 UK General Election 2010: Political Parties - Local                                                        | 
 UK General Election 2010: Public and Community Engagement                                                  | 
 Coalition                                                                                                  | 
 E-publishing Trends                                                                                        | Electronic publishing refers to the digital publication of e-books and electronic articles and the development of digital libraries and catalogues. E-publishing is a growing phenomenon which uses innovative technologies to enable individuals, scholars and communities to establish contacts, exchange data, and share knowledge. Many works, especially scientific journals and popular works of fiction are increasingly only published online. This collection of websites is intended to reflect this growing trend and includes e-books, a publisher&#39;s online addenda to a printed book, an experiment in the novel as a blog and sites about the impact of digital technologies upon writing. 
 Muslims, Trust and Cultural Dialogue                                                                       | 
 G8 Summit 2005 [NO PUBLIC ACCESS]                                                                          | Selection of web sites relating to the summit of the G8 leaders held at Gleneagles, Scotland, 6th - 8th July 2005
 Edinburgh Transport Referendum 2005                                                                        | Collected before, during and after the Referendum held 7-21 February 2005
 Winter Olympic & Paralympic Games 2010                                                                     | 
 Free Church                                                                                                | This collection of websites has been selected around the theme of Free Church religion. The Free Churches (successively known in previous generations as Dissenters and Nonconformists) formally emerged in the seventeenth century. They originally comprised individuals and denominations refusing to conform to the doctrines and practices of the Church of England but have come to include a large number of evangelical and renewal movements which have grown up quite independently of the established Church. Most, but not all, of them are trinitarian. The major categories, in terms of numerical strength, currently comprise Baptist, Methodist, Reformed and Pentecostal. In addition to the websites included in this collection, there is a separate special collection for the Religious Society of Friends (Quakers).
 Energy                                                                                                     | This collection of websites was selected around the theme of energy. The collection comprises topics such as energy providers, research institutions, alternative energies and conservation groups.
 Latin America UK                                                                                           | A collection of Internet sites produced by Latin American communities in the UK or by UK organisations with direct links to these communities and to the region. The sites archived include those of charities, educational and support groups, solidarity campaigns, Anglo-Latin American societies, news and information services for Latin Americans in the UK, commercial and cultural organisations and one-off events. 
 Mental Health                                                                                              | A collection of sites looking at websites addressing issues of mental health and its effects. Includes mental health issues as well as support and research organisations.
 UK General Election 2010: Opinion Polls                                                                    | 
 Sex, Power and the Games                                                                                   | 
 Men's Issues                                                                                               | A collection of sites designed to address issues that affect men. Includes health, social and personal issues.
 Cornwall                                                                                                   | This collection of websites focuses on Cornwall, the most south westerly county in the UK. It is intended to reflect a wide range of related issues such as economy, environment, culture, language, tourism and campaigning groups such as the self governing movement. The collection is ongoing..
 Credit Crunch                                                                                              | This collection of websites, covering the period July 2008 to January 2010 was initiated to reflect how the UK has been affected by the global financial crisis. The collection includes the websites of banks, corporations, local governments, consumer and financial advisory groups as well as blogs and commentaries. 
 Darwin 200                                                                                                 | The year 2009 marked the 200th anniversary of the birth of evolutionary biologist Charles Darwin and the 150th anniversary of the publication of his seminal work, 'On the Origin of Species'. A series of events was held globally to celebrate the 'Year of Darwin 2009' and to promote science in general. This collection of websites was selected around this theme.
 Scottish Parliamentary Election - 2007                                                                     | This collection of websites focuses on the 2007 Scottish Parliament election which was held on Thursday 3 May 2007 to elect members to the Scottish Parliament. The collection contains the websites of candidates campaign sites and party sites.  
 Blogs                                                                                                      | The UK Blogosphere (connected community of Web logs) has burgeoned since the late 1990s and early 2000s, due in part to more straightforward publishing processes. This collection represents a cross section of UK Web logs containing a wealth of material which will be of value to researchers now and in the future. The collection contains a wide variety of Blogs from news and political commentaries, sports and music Blogs to personal online diaries.
 Personal Experiences of Illness                                                                            | A collection created to record individuals experiences of illness, their interaction with health professionals and their feelings of how their condition has affected their lives.
 Independent Arts Organisations                                                                             | This collection will bring together independent arts organisations from around the UK  providing an overview of activity that is inherently itinerant and ephemeral. This collection will also provide an insight into how artists and curators are using current technologies and advancements in networking to promote and showcase their activity. 
 Digital Narrative                                                                                          | 
 Queen's Diamond Jubilee, 2012                                                                              | This is a special collection of websites selected by the Royal Archives, the British Library and the Institute of Historical Research around a subject of topical interest and national importance to the UK, the Diamond Jubilee of Queen Elizabeth II, 2012. The collection includes archived copies of websites produced by the Royal Household together with a wide range of related material such as Blogs, commentaries and news articles. 
 Welsh devolution referendum 2011                                                                           | Collection set up by Rob Phillips National Library of Wales.  Welsh devolution referendum 2011 This collection of websites focuses on the referendum on the powers of the National Assembly for Wales, held on March 3rd 2011. The voters of Wales had approved a very limited form of devolution in September 1997 by a wafer thin majority of 6,721 votes. Following the coalition agreement between Labour and Plaid Cymru, signed after the 2007 Assembly election, a further referendum was held in 2011 on granting the Assembly the power to make laws without having to first seek permission from the UK Parliament. The Yes for Wales campaign was backed by Assembly Members from all 4 main parties, trade unions and many parts of civic society while the True Wales campaign, which urged voters to say No described itself as a grass-roots organisation. On this occasion the result was far more decisive, with 517,132 voting yes, and 297,380 voting no. The only county to record a no majority was Monmouthshire, by 320 votes. Refferendwm datganoli Cymru 2011 Mae'r casgliad hwn o wefannau yn canolbwyntio ar y refferendwm ar bwerau i'r Cynulliad Cenedlaethol Cymru, a gynhaliwyd ar Fawrth 3ydd 2011. Roedd pleidleiswyr Cymru wedi cymeradwyo ffurf cyfyngedig iawn o ddatganoli ym mis Medi 1997 gyda mwyafrif isel o 6,721 o bleidleisiau. Yn dilyn y cytundeb clymblaid rhwng Llafur a Phlaid Cymru, wedi'i lofnodi ar ôl etholiadau'r Cynulliad yn 2007, cynhaliwyd refferendwm pellach yn 2011 ar ganiatáu i'r Cynulliad y p&#373;er i wneud cyfreithiau heb orfod yn gyntaf i ofyn am ganiatâd gan Senedd y DU. Cefnogwyd yr ymgyrch Ie dros Gymru gan Aelodau Cynulliad or 4 prif blaid, undebau llafur a nifer o rannau o gymdeithas ddinesig tra bod yr ymgyrch Gwir Cymru, a oedd yn annog pleidleiswyr i ddweud "Na" yn disgrifio ei hun fel sefydliad ar lawr gwlad. Y tro hwn roedd y canlyniad yn llawer mwy pendant, gyda 517,132 o blaid, a 297,380 yn erbyn. Sir Fynwy oedd yr unig sir i bleidleisio mwyafrif o blaid na, o 320 o bleidleisiau.  
 National Assembly for Wales election 2011                                                                  | Collection set up by Rob Phillips National Library of Wales.  National Assembly for Wales election 2011 This collection of websites focuses on the election for the National Assembly for Wales in 2011. The Assembly was established in 1999, but the fourth Assembly, would be the first to have full lawmaking powers in devolved areas. The election resulted in gains for the Labour and Conservative parties and losses for the Welsh Liberal Democrats and Plaid Cymru but with no party having an overall majority. Following the election, Carwyn Jones AM, leader of the Labour group was elected as First Minister and formed a government. Etholiad Cynulliad Cenedlaethol Cymru 2011 Mae'r casgliad hwn o wefannau yn canolbwyntio ar yr etholiad i Gynulliad Cenedlaethol Cymru yn 2011. Sefydlwyd y Cynulliad yn 1999, ond y Pedwerydd Cynulliad, fyddair cyntaf i gael pwerau deddfu llawn mewn meysydd sydd wedi'u datganoli. Canlyniad yr etholiad oedd enillion ar gyfer y Blaid Lafur ar Ceidwadwyr a cholledion ar gyfer Democratiaid Rhyddfrydol Cymru a Phlaid Cymru, ond heb unrhyw blaid gyda mwyafrif. Yn dilyn yr etholiad, etholwyd Carwyn Jones AC, arweinydd y gr&#373;p Llafur, yn Brif Weinidog a ffurfiodd lywodraeth. 
 Hypertext Fiction                                                                                          | Collection of website initiated by the BL English and Drama Department around the subject of Hypertext Fiction
 Public & Community Engagement (UK General Election 2015)                                                   | 
 UK relations with the Low Countries                                                                        | 
 History of Libraries Collection                                                                            | 
 Slavery and Abolition in the Caribbean                                                                     | Back in 2007 the Internet was an important engagement space for museums, archives, libraries and various other institutions to relay the history of slavery and mark the bicentenary of the abolition of the British slave trade. This collection includes, but is not confined to, sites relating to that bicentenary, and includes resources from a range of UK government, heritage, local history and other organisations on the enactment, abolition and consequences of slavery in the Caribbean.
 Video Games                                                                                                | The collection will focus on computer games in the UK and the surrounding culture and impact on society. Expected sub-themes will include: games sites, forums, enthusiast sites and FAQs/walkthroughs, advertising, emulation, research/education. The collection will aim to capture games (eg. disk images, executables of remakes) or information about games (eg. maps, walkthroughs, FAQs) that is at risk of loss, as well as covering the cultural and societal impact of computer games (eg. research on impact of games on childrens development).
 Dickens Bicentenary                                                                                        | Collection of websites to mark the 200th birthday of Charles Dickens in 2012. 
 UK General Election 2010                                                                                   | Collection of Internet sites with electoral content archived during and immediately after the UK General Election campaign of 2010. The collection comprises a sample of candidates campaign sites and weblogs, local and national party sites, opinion polls, news and commentary, regulatory materials and the campaign websites and manifestos of a range of interest groups.  Many of the sites chosen encourage public engagement and interactivity.
 Evolving role of libraries in the UK                                                                       | The collection aims to reflect developments within the UK library community in the 21st century, in response to financial, technological, political, social and other pressures and challenges. It highlights innovative library and information services, traditional and new professional roles and skills, communities of research and practice. The scope of the collection invites the addition of many more personal, organisation and community sites that capture the evolving role of UK libraries.
 Health and Social Care Act 2012 - NHS Reforms > Other                                                      | 
 Quakers                                                                                                    | This collection of websites is selected by the Library of the <a href="http://www.quaker.org.uk/library" target="_blank">Religious Society of Friends in Britain (Quakers)</a> and maintained by the British Library. It includes sites relating to Quaker activity in Britain, such as Quaker meetings, groups and campaigns, centres, schools and communities, businesses and blogs. <br><a href="http://www.quaker.org.uk/library"><img alt="Religious Society of Friends in Britain (Quakers)" border="0" src="/images/quakers_logo.png"></a>   
 Spending Cuts 2010: Impact on Social Welfare                                                               | This is a collection of selected websites archived from May 2010 onwards focusing on the impacts of the public spending cuts implemented by the Coalition Government following the 2010 General Election. The collection contains UK central and local government sites, public policy documents and responses, news and commentary, and relevant pages from the sites of think tanks, charities, pressure and protest groups, individual anti-cuts campaigners and trade unions.
 Latin America UK > Test                                                                                    | Test <a href="http://www.webarchive.org.uk/" target="_blank">UK Web Archive</a>.  Please ignore. <br> New line started. <p>new paragraph
 Olympic & Paralympic Games 2012                                                                            | The Olympic and Paralympic Games are the largest sporting event in the world; each event necessitating years of planning, international co-operation and vast financial resources. At the International Olympics Committee in Singapore July 2005 it was announced that London would host the Games in 2012. Hosting the Games will be a huge challenge for London and for the UK. The websites in this collection have been selected to reflect all aspects of the 2012 Games including the social and economic impact as well as the event itself. The collection includes websites of official bodies, relevant local councils, opinion forums and company websites. Sites will continue to be gathered up to and beyond the Olympics 2012.
 Health and Social Care Act 2012 - NHS Reforms > NHS North of England - Strategic Health Authority Cluster  | As part of the changes to the NHS brought about by the Health and Social Care Act 2012, Primary Care Trusts (PCTs) and Strategic Health Authorities (SHAs) ceased to exist on 31 March 2013. As a consequence the websites of these organisations went offline. <p>The responsibilities held by the PCTs and the SHAs were transferred to: <p>- <a href="http://www.england.nhs.uk/" target="_blank">NHS England (formerly established as the NHS Commissioning Board)</a><br> - <a href="http://www.england.nhs.uk/ccg-details/" target="_blank">NHS Clinical Commissioning Groups</a><br> - <a href="http://www.ntda.nhs.uk/" target="_blank">NHS Trust Development Authority</a><br> <p><i>NHS England Statement<br> Any information about you that has been held previously by these organisations would have been securely transferred to a new organisation as part of the changes implemented in the NHS. These changes will not affect your rights and have been undertaken to ensure continuity of functions delivered within the NHS. If you are unsure how to contact these organisations, please email <a href="mailto:england.contactus@nhs.net" title="england.contactus@nhs.net">england.contactus@nhs.net</a><br> If you are making a request under the Freedom of Information (FOI) Act, that relates to the NHS system prior to the first of 1st April 2013, then please send your request to <a href="mailto:reviews%26informationteam@dh.gsi.gov.uk" title="reviews&informationteam@dh.gsi.gov.uk">reviews&informationteam@dh.gsi.gov.uk</a></i><br> <p>The SHA and PCT websites were captured by the British Library UK Web Archive at the end of March 2013. <p><i>Please note the British Library UK Web Archive has no affiliation to any of the archived websites. Information on the websites was accurate at the time of archiving but now remains static. Content residing behind login pages was not archived.</i>
 Health and Social Care Act 2012 - NHS Reforms > NHS South of England - Strategic Health Authority Cluster  | As part of the changes to the NHS brought about by the Health and Social Care Act 2012, Primary Care Trusts (PCTs) and Strategic Health Authorities (SHAs) ceased to exist on 31 March 2013. As a consequence the websites of these organisations went offline. <p>The responsibilities held by the PCTs and the SHAs were transferred to: <p>- <a href="http://www.england.nhs.uk/" target="_blank">NHS England (formerly established as the NHS Commissioning Board)</a><br> - <a href="http://www.england.nhs.uk/ccg-details/" target="_blank">NHS Clinical Commissioning Groups</a><br> - <a href="http://www.ntda.nhs.uk/" target="_blank">NHS Trust Development Authority</a><br> <p><i>NHS England Statement<br> Any information about you that has been held previously by these organisations would have been securely transferred to a new organisation as part of the changes implemented in the NHS. These changes will not affect your rights and have been undertaken to ensure continuity of functions delivered within the NHS. If you are unsure how to contact these organisations, please email <a href="mailto:england.contactus@nhs.net" title="england.contactus@nhs.net">england.contactus@nhs.net</a><br> If you are making a request under the Freedom of Information (FOI) Act, that relates to the NHS system prior to the first of 1st April 2013, then please send your request to <a href="mailto:reviews%26informationteam@dh.gsi.gov.uk" title="reviews&informationteam@dh.gsi.gov.uk">reviews&informationteam@dh.gsi.gov.uk</a></i><br> <p>The SHA and PCT websites were captured by the British Library UK Web Archive at the end of March 2013. <p><i>Please note the British Library UK Web Archive has no affiliation to any of the archived websites. Information on the websites was accurate at the time of archiving but now remains static. Content residing behind login pages was not archived.</i>
 Health and Social Care Act 2012 - NHS Reforms                                                              | As part of the changes to the NHS brought about by the Health and Social Care Act 2012, Primary Care Trusts (PCTs) and Strategic Health Authorities (SHAs) ceased to exist on 31 March 2013. As a consequence the websites of these organisations went offline. <p>The responsibilities held by the PCTs and the SHAs were transferred to: <p>- <a href="http://www.england.nhs.uk/" target="_blank">NHS England (formerly established as the NHS Commissioning Board)</a><br> - <a href="http://www.england.nhs.uk/ccg-details/" target="_blank">NHS Clinical Commissioning Groups</a><br> - <a href="http://www.ntda.nhs.uk/" target="_blank">NHS Trust Development Authority</a><br> <p><i>NHS England Statement<br> Any information about you that has been held previously by these organisations would have been securely transferred to a new organisation as part of the changes implemented in the NHS. These changes will not affect your rights and have been undertaken to ensure continuity of functions delivered within the NHS. If you are unsure how to contact these organisations, please email <a href="mailto:england.contactus@nhs.net" title="england.contactus@nhs.net">england.contactus@nhs.net</a><br> <p>In addition the Local Involvement Networks (LINks) also ceased to exist on 31 March 2013, being replaced by Healthwatch which is the new consumer champion for both health and adult social care. Healthwatch has two distinct forms &#45; <a href="http://www.healthwatch.co.uk/find-local-heathwatch" target="_blank">Local Healthwatch</a>, and, at national level, <a href="http://www.healthwatch.co.uk/" target="_blank">Healthwatch England</a>.<br> <p>The SHA, PCT, LINk and other decommissioned websites were captured by the British Library UK Web Archive at the end of March 2013. <p><i>Please note the British Library UK Web Archive has no affiliation to any of the archived websites. Information on the websites was accurate at the time of archiving but now remains static. Content residing behind login pages was not archived.</i>
 Health and Social Care Act 2012 - NHS Reforms > NHS London - Strategic Health Authority Cluster            | As part of the changes to the NHS brought about by the Health and Social Care Act 2012, Primary Care Trusts (PCTs) and Strategic Health Authorities (SHAs) ceased to exist on 31 March 2013. As a consequence the websites of these organisations went offline. <p>The responsibilities held by the PCTs and the SHAs were transferred to: <p>- <a href="http://www.england.nhs.uk/" target="_blank">NHS England (formerly established as the NHS Commissioning Board)</a><br> - <a href="http://www.england.nhs.uk/ccg-details/" target="_blank">NHS Clinical Commissioning Groups</a><br> - <a href="http://www.ntda.nhs.uk/" target="_blank">NHS Trust Development Authority</a><br> <p><i>NHS England Statement<br> Any information about you that has been held previously by these organisations would have been securely transferred to a new organisation as part of the changes implemented in the NHS. These changes will not affect your rights and have been undertaken to ensure continuity of functions delivered within the NHS. If you are unsure how to contact these organisations, please email <a href="mailto:england.contactus@nhs.net" title="england.contactus@nhs.net">england.contactus@nhs.net</a><br> If you are making a request under the Freedom of Information (FOI) Act, that relates to the NHS system prior to the first of 1st April 2013, then please send your request to <a href="mailto:reviews%26informationteam@dh.gsi.gov.uk" title="reviews&informationteam@dh.gsi.gov.uk">reviews&informationteam@dh.gsi.gov.uk</a></i><br> <p>The SHA and PCT websites were captured by the British Library UK Web Archive at the end of March 2013. <p><i>Please note the British Library UK Web Archive has no affiliation to any of the archived websites. Information on the websites was accurate at the time of archiving but now remains static. Content residing behind login pages was not archived.</i>
 Health and Social Care Act 2012 - NHS Reforms > NHS Midlands and East - Strategic Health Authority Cluster | As part of the changes to the NHS brought about by the Health and Social Care Act 2012, Primary Care Trusts (PCTs) and Strategic Health Authorities (SHAs) ceased to exist on 31 March 2013. As a consequence the websites of these organisations went offline. <p>The responsibilities held by the PCTs and the SHAs were transferred to: <p>- <a href="http://www.england.nhs.uk/" target="_blank">NHS England (formerly established as the NHS Commissioning Board)</a><br> - <a href="http://www.england.nhs.uk/ccg-details/" target="_blank">NHS Clinical Commissioning Groups</a><br> - <a href="http://www.ntda.nhs.uk/" target="_blank">NHS Trust Development Authority</a><br> <p><i>NHS England Statement<br> Any information about you that has been held previously by these organisations would have been securely transferred to a new organisation as part of the changes implemented in the NHS. These changes will not affect your rights and have been undertaken to ensure continuity of functions delivered within the NHS. If you are unsure how to contact these organisations, please email <a href="mailto:england.contactus@nhs.net" title="england.contactus@nhs.net">england.contactus@nhs.net</a><br> If you are making a request under the Freedom of Information (FOI) Act, that relates to the NHS system prior to the first of 1st April 2013, then please send your request to <a href="mailto:reviews%26informationteam@dh.gsi.gov.uk" title="reviews&informationteam@dh.gsi.gov.uk">reviews&informationteam@dh.gsi.gov.uk</a></i><br> <p>The SHA and PCT websites were captured by the British Library UK Web Archive at the end of March 2013. <p><i>Please note the British Library UK Web Archive has no affiliation to any of the archived websites. Information on the websites was accurate at the time of archiving but now remains static. Content residing behind login pages was not archived.</i>
 Cambridge Network                                                                                          | The Cambridge Network is a membership organisation based in the vibrant high technology cluster of Cambridge. We have captured the websites of over 700 of the cluster of companies, educational institutions and other organisations associated with the Cambridge Network. We were particularly pleased to have been able to work with the Network, which exists to bring business and academia together to facilitate the shareing of ideas, and to encourage collaboration and partnership.  The collection comprises many research centres and enterprises associated with the University of Cambridge, such as the Centre for Business Research or the Centre for Advanced Photonics and Electronics (CAPE).  Also included are the sites of organisations whose purpose is to facilitate knowledge exchange in general, such as the UK Innovation Research Centre or the Huntingdonshire Business Network. And there are sites from local government, the law, financial services, the charitable sector and the many other parts that go to make up the rich ecology of business in a local area. This collection will hopefully be of great value in capturing a snapshot of innovation in progress in a particular geographical area. 
 Health and Social Care Act 2012 - NHS Reforms > Local Involvement Networks (LINks)                         | As part of the changes brought about by the Health and Social Care Act 2012, Local Involvement Networks (LINks) ceased to exist on 31 March 2013, being replaced by Healthwatch which is the new consumer champion for both health and adult social care. Healthwatch has two distinct forms &#45; <a href="http://www.healthwatch.co.uk/find-local-heathwatch" target="_blank">Local Healthwatch</a>, and, at national level, <a href="http://www.healthwatch.co.uk/" target="_blank">Healthwatch England</a>.<br> <p>The LINk websites were captured by the British Library UK Web Archive at the end of March 2013. <p><i>Please note the British Library UK Web Archive has no affiliation to any of the archived websites. Information on the websites was accurate at the time of archiving but now remains static. Content residing behind login pages was not archived.</i>
 First World War Centenary, 2014-18 > Heritage Lottery Funded First World War Centenary Projects            | 
 Political Action and Communication                                                                         | This collection aims to represent and document the use of the web in political engagement in the UK: from single-authored blogs through local and grassroots campaigns to political parties and charities and trusts that support democratic engagement and activism. The collection also includes examples of research into levels of democratic engagement, and the use of communications technology in campaigning and activism.
 Oral History in the UK                                                                                     | The Oral History in the UK collection was initiated in 2012 and is maintained by the Oral History section of the British Library.  The websites in this collection have been selected to demonstrate the variety of ways in which Oral History is used by community and local history groups, charities and universities.  The range of websites in this collection includes sites which document the experiences of those that emmigrated to the UK (such as the Birmingham Black Oral History Project and Moroccan Memories in Britain); local history (Durham in Time, St. Helier Memories); disability history (Speaking Up For Disability); industry in the UK (Songs of Steel); and memories of war (The Workers' War, Captive Memories).  The websites vary widely in the way they present oral history; many, although not all, provide access to extracts from oral history audio or video archive material and most sites also provide information on the project background, participants and funding arrangements.  Websites will continue to be nominated for inclusion in the UK Web Archive and added to the 'Oral History in the UK' collection.
 Religion, politics and law since 2005                                                                      | A collection of sites touching on issues relating to the place of religious ideas in the public sphere in the UK since 2005. It includes sites of official church bodies, as well as campaigning organisations both religious and secularist. Also included are sites concerned with parliamentary politics, along with others connected with the law and with contested issues such as the law on abortion, assisted suicide, and religion in state education. Those religious sites chosen are predominantly Christian in origin, but not exclusively so.
 Legal Aid Reform                                                                                           | 
 French in London                                                                                           | This collection of websites has been selected by Saskia Huc-Hepher around the subject of the French community in London. Saskia is a Senior Lecturer at the University of Westminster. Alongside her teaching and coordination duties, Saskia is presently working on her PhD Thesis on the French community in London, a fundamental component of which is her curation of the London French Special Collection in the UK Web Archive. The collection will serve both as an innovative dataset and as a means of reaching out to a diverse range of audiences.  
 19th Century English Literature                                                                            | Resources relating to 19th century English literature and literary figures. It includes websites devoted to author societies, themed events, anniversary and other news coverage, adaptations, interpretations, museums and fan sites, as well as academic sites. 
